id,title,artist,year,materials,movement,image_url,genre,country,location,description
1,,,,,,,,,,
2,Выгодная позиция,Лоуренс Альма-Тадема,1895,"Масло, Дерево",Романтизм,https://artchive.ru/res/media/img/oy1200/work/f6c/552640.webp,Жанровая живопись,Великобритания,Частная коллекция,"Начиная с 1890-х годов художник всё реже и реже обращался к историческим событиям, заменяя их сентиментальными или эротическими композициями в роскошных интерьерах или мраморных террасах. Большие полотна становились исключениями. Собственно исторические события перестали увлекать Альма-Тадему, он сосредоточился на передаче художественными средствами романтических чувств. Навязчивый перфекционизм приводил к резкому замедлению темпов работы."
3,Леди Годива,Джон Кольер,1898,"Масло, Холст",Романтизм,https://artchive.ru/res/media/img/oy800/work/8ec/50388.webp,Литературная сцена,Великобритания,"Художественная галерея и музей Герберта, Ковентри","Леди Годива, или как по-саксонски ее звали Godgyfu — это жена Леофрика, графа Мерсии, жившего в английском городе Ковентри в XI веке. Это были времена правления одного из могущественных королей Англии — Эдуарда Исповедника, известного также своими непомерными налогами, которыми он облагал граждан. Леофрик также обладал правом взимать подать с жителей своего города. Не раз разоренные горожане обращались с просьбой к графу облегчить их положение, но это не давало никакого результата. Супруга его — леди Годива отличалась щедростью и благочестием и тоже нередко упрашивала мужа быть милосерднее и снизить плату, но и ее мольбы не достигали цели. На очередную просьбу жены разгневанный граф пообещал снизить налоги, если она совершит безумнейший шаг:

«Ступайте, - молвил граф, -
По городу нагая - и налоги
Я отменю», - насмешливо кивнул ей
И зашагал среди собак из залы.

Так описал это действие Альфред Теннисон в 1842 году.
Для графини бедствия народа оказались важнее ханжества и ложного стыда, поэтому она поступила именно так, как сказал ей муж. Жители города, в свою очередь, проявили благородство и в знак искренней благодарности закрыли ставни, двери и ни одна живая душа не видела прекрасную обнаженную Годиву на своем коне, объезжающую город в тот день. Однако, все же один нерадивый портной попытался взглянуть на женщину сквозь щель в ставни, но тут же «у него глаза оделись мраком и вытекли». Поступок жены поразил графа, и он отменил налоги.

Граф Леофрик и Леди Годива — реальные исторические персонажи, но вот удостовериться в действительности красивой легенды пока нет возможности. Но поэма Теннисона помогла оформить эту историю, придать ей ясные и в то же время поэтическо-романтичные очертания. Благодаря его строкам этот сюжет стал популярен среди художников и скульпторов XIX века."
4,Танец среди мечей,Генрих Ипполитович Семирадский,1887,"Холст, Масло",Академизм,https://artchive.ru/res/media/img/oy400/work/490/501071.webp,Пейзаж,Россия,Частная коллекция,"Пленэризм полотен Семирадского и иллюзионистическая достоверность предметов были призваны убедить зрителя в том, что Античность – не золотой сон, пригрезившийся человечеству, а быль. В картине «Танец среди мечей» образ итальянского юга находит свое совершенное выражение. «Только тот, кто собственными глазами смотрел на окрестности Рима и Неаполитанский залив, сумеет понять, сколько правды и души в этом пейзаже, в этой голубизне и в этом созвучии розовых и голубых цветов и в этой прозрачной дали. Если бы эта картина была только пейзажем, если бы ни одно человеческое существо не оживляло тишину и покой, – даже тогда она была бы шедевром», – писал о полотне польский писатель Г. Сенкевич."
5,Мечтатель (Руины монастыря Ойбин),Каспар Давид Фридрих,1835,"Масло, Холст",Романтизм,https://artchive.ru/res/media/img/oy1000/work/71c/7522934.webp,Пейзаж,Германия,"Государственный Эрмитаж, Санкт-Петербург","Каспар Давид Фридрих представлял собой художника-пейзажиста романтического направления. По его словам, его пейзажи « … не были точными изображениями воздуха, воды, скал и деревьев….но отражением души и эмоционального наполнения этих объектов». Для Фридриха природа была носителем глубоких религиозных переживаний и часто приобретала символическое значение. Он использовал пейзаж как средство отобразить свои глубокие эмоциональные переживания, которые напоминали манеру письма его предшественника и земляка Альтдорфера, жившего тремя веками ранее. Один из характерных для Фридриха приёмов — приём перенесения зрителя в пространство картины. Фигура часто изображается обращённой к ландшафту, заворожённо погружённой в созерцание, так что зритель получает здесь своеобразную «точку вхождения» в бесконечный мир."
6,Прекрасная ферроньера (Портрет неизвестной),Леонардо да Винчи,1490-е,"Масло, Дерево",Возрождение,https://artchive.ru/res/media/img/oy1200/work/e8c/273618.webp,Портрет,Италия,"Лувр, Париж","Наиболее распространенная версия гласит, что Леонардо написал фаворитку своего миланского покровителя Лукрецию Кривелли. Эта версия преобладала на протяжении всего XIX века и большей части XX века. Действительно ли портрет изображает её, точно сказать нельзя. Но поскольку полотно написано в первый миланский период Леонардо, и женщина богато одета, она вероятно являлась видной фигурой при миланском дворе того времени."
7,Вакханалия,Лоуренс Альма-Тадема  ,1871,"Холст, Масло",Романтизм,https://artchive.ru/res/media/img/oy400/work/8d0/544262.webp,Жанровая живопись,Великобритания,Частная коллекция,"В Англии изменилась палитра художника — она стала светлее, изменилась и техника письма. Он стал чаще использовать пленэрные эффекты и изображать фактуру мрамора, эксперименты в этом направлении ознаменовали начало большой серии работ на тему античной Греции, созданной в 1870-е годы."
8,Две Фриды,Фрида Кало,1939,"Холст, Масло",Символизм,https://artchive.ru/res/media/img/oy800/work/530/291919.webp,Портрет,Мексика," Музей современного искусства, Мехико, Мехико","Упоминая картину «Две Фриды» в своем дневнике, Кало пишет, что ее вдохновили воспоминания о маленькой воображаемой подруге. Но этот дневник часто был летописью совсем другой жизни Фриды, красивой и счастливой, мало похожей на настоящую. Позже художница все-таки призналась, что двойной портрет стал плодом ее переживаний по поводу кризиса в семейных отношениях, окончившегося разводом с Диего Риверой."
9,Искушение Святого Антония,Сальвадор Дали,1946,"Холст, Масло",Сюрреализм,https://artchive.ru/res/media/img/oy800/work/7c9/622422.webp,Аллегория,Испания,"Королевские музеи изящных искусств Бельгии, Брюссель","«Искушение Святого Антония» Дали писал для конкурса. В 1945 году начались съемки фильма «Личные дела Милого друга», экранизации знаменитого романа Ги де Мопассана. Создатели фильма обратились к двенадцати современным художникам с предложением написать картину об искушениях Святого Антония, которая должна будет появиться в фильме. Победу и гонорар в 2500 долларов получил Макс Эрнст со своим «Искушением Святого Антония». А кроме того, звездные 8 секунд, в течение которых на экране появляется полотно – единственный цветной элемент в черно-белом фильме. Всем остальным, и Дали в том числе, полагалась оплата за участие в конкурсе 500 долларов.

Сюжет о Святом Антонии – известная история отшельника, которого в безлюдной пустыне много ночей подряд атаковали демоны, не скупясь на искушения и пытаясь отыскать пределы его праведности, уязвимое место, удар по которому докажет бесконечную власть дьявола и неизбежную слабость даже самого стойкого в вере человека. "
10,Храм Изиды на острове Филе,Василий Дмитриевич Поленов,1882,"Холст, Масло",Реализм,https://artchive.ru/res/media/img/oy800/work/3e2/452470.webp,Интерьер,Россия,"Государственная Третьяковская галерея, Москва","В 1881—1882 годах Поленов отправляется вместе с экспедицией князя С. С. Абамелек-Лазарева и А. В. Прахова в своё первое путешествие на Ближний Восток и по библейским местам: в Константинополь, Палестину, Сирию и Египет, откуда привозит эскизы и наброски к масштабному полотну «Христос и грешница», а также другие картины, написанные в найденной Поленовым в поездке новой для себя манере письма («Нил у Фиванского хребта», 1881; «Первый нильский порог», не датированный; «Нил, вдали пирамиды», 1881 и др.)."
